Altium Designer Pick and Place Locations
Z:\RTL-SDR_Raspberry\Altium\Version1\RTL_SDR_RPi_NanoPiAir_shield_V_1\Project Outputs for RTL_SDR_RPi_NanoPiAir_shield_V_1\Pick Place\Pick Place for NanoPiAir_Shield_V1.csv

========================================================================================================================
File Design Information:

Date:       17.12.22
Time:       18:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment","Description"
"G1","XTAL_RTL_SDR(CHINA_WTL_S6)","48.1672","41.6470","48.1672","41.6970","49.2672","42.4970","TopLayer","180","WTL S6 28.8MHz","28.2 MHz A±1ppm Generator"
"ANT1","FP-W3006-0","32.4000","28.2000","32.4000","28.2000","32.4000","23.6500","TopLayer","90","W3006","RF ANT 2.4GHZ/5.5GHZ CHIP SLD"
"U5","QFN40P600X600X84_HS-49N","35.9685","44.7750","35.9685","44.7750","38.8185","42.5750","TopLayer","180","RTL2832U","RTL2832U DVB-T COFDM Demodulator + USB 2.0"
"R11","RESC1005X40X25ML05T10","31.0250","45.8000","31.0250","45.8000","31.5000","45.8000","TopLayer","180","RC0402JR-13220RL",""
"R10","FP-RC0402-0_4-IPC_C","38.8193","49.4655","38.8192","49.4655","38.8193","49.0870","TopLayer","90","RC0402JR-0710KL","RES 10K OHM 5% 1/16W 0402"
"D2","STM-SOT23-6L_V","27.5000","47.4250","27.5000","47.4250","26.3500","48.3750","TopLayer","0","USBLC6-2SC6","Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel"
"C32","CAPC1005X55N","42.0000","52.6000","42.0000","52.6000","42.0000","52.1700","TopLayer","90","0.1uF",""
"C31","CAPC1005X55N","42.8865","39.7750","42.8865","39.7750","42.4565","39.7750","TopLayer","0","0.1uF",""
"C28","CAPC1005X55N","39.0543","40.3557","39.0543","40.3558","39.4843","40.3557","TopLayer","180","0.1uF",""
"C27","FP-0402-L_1_0_0_05-W_0_5-IPC_C","41.1090","43.4300","41.1090","43.4300","41.4876","43.4300","TopLayer","180","UMK105B7682KV-F","None"
"C25","FP-0402-L_1_0_0_05-W_0_5-IPC_C","41.1090","41.6258","41.1090","41.6257","41.4876","41.6258","TopLayer","180","UMK105B7682KV-F","None"
"C22","CAPC1005X55N","39.1000","52.6000","39.1000","52.6000","39.1000","52.1700","TopLayer","90","0.1uF",""
"C20","CAPC1005X55N","41.6250","45.6750","41.6250","45.6750","41.6250","46.1050","TopLayer","270","0.1uF",""
"C19","CAPC1005X70X10NL20T00","43.0250","45.6750","43.0250","45.6750","43.0250","46.2250","TopLayer","270","TACK225M006QTA",""
"C18","CAPC1005X55N","37.0500","40.3500","37.0500","40.3500","37.4800","40.3500","TopLayer","180","0.1uF",""
"C17","CAPC1005X70X10NL20T00","37.2250","38.9557","37.2250","38.9557","37.7750","38.9557","TopLayer","180","TACK225M006QTA",""
"R7","RESC1005X40X25ML05T10","43.2745","42.9043","43.2745","42.9043","43.7495","42.9043","TopLayer","180","RC0402JR-13220RL",""
"R6","RESC1005X40X25ML05T10","43.2746","41.5000","43.2745","41.5000","43.7496","41.5000","TopLayer","180","RC0402JR-13220RL",""
"R3","RESC1608X55X25ML10T15","51.4951","34.6000","51.4950","34.6000","51.4951","35.3500","TopLayer","270","RC0603JR-074K7L","Chip Resistor, 4.7 KOhm, +/- 5%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R1","RESC1608X55X25ML10T15","51.4951","38.2042","51.4950","38.2042","51.4951","37.4542","TopLayer","90","RC0603JR-074K7L","Chip Resistor, 4.7 KOhm, +/- 5%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R5","RESC0603X28X15LL05T05","43.4365","37.7500","43.4365","37.7500","43.4365","37.4750","TopLayer","90","CRCW02011K80JNED",""
"C15","FP-0402-L_1_0_0_05-W_0_5-IPC_C","41.5410","35.5500","41.5410","35.5500","41.9196","35.5500","TopLayer","180","UMK105B7682KV-F","None"
"C14","CAPC1005X56X25NL10T15","42.3323","37.5672","42.3323","37.5672","42.3323","37.1272","TopLayer","90","04025C331KAT2A",""
"C10","CAPC1005X55N","51.4500","41.0085","51.4500","41.0085","51.4500","41.4385","TopLayer","270","0.1uF",""
"C4","CAPC1005X55N","51.2000","31.4893","51.2000","31.4893","51.2000","31.9193","TopLayer","270","0.1uF",""
"L3","CAPC1005X55N","41.7557","33.5043","41.7557","33.5043","41.7557","33.0743","TopLayer","90","MLG1005SR18JT","Ind High Frequency Chip Unshielded Multi-Layer 180nH 5% 100MHz 8Q-Factor Ceramic 150mA 0402 T/R"
